timestamp,sx,sy,sz
11183.439695065,0.0,-0.24253562491589525,-0.9701424996636913
11183.456588863,0.0,-0.24253562491589525,-0.9701424996636913
11183.473867825,0.0,-0.24253562491589525,-0.9701424996636913
11183.489168727,0.0,-0.24253562491589525,-0.9701424996636913
11183.506269857,0.0,-0.24253562491589525,-0.9701424996636913
11183.520974817,0.0,-0.24253562491589525,-0.9701424996636913
11183.536385255,0.0,-0.24253562491589525,-0.9701424996636913
11183.551017957,0.0,-0.24253562491589525,-0.9701424996636913
11183.566521264,0.0,-0.24253562491589525,-0.9701424996636913
11183.581052985,0.0,-0.24253562491589525,-0.9701424996636913
11183.596175147,0.0,-0.24253562491589525,-0.9701424996636913
11183.609646578,0.0,-0.24253562491589525,-0.9701424996636913
11183.624420242,0.0,-0.24253562491589525,-0.9701424996636913
11183.639954234,0.0,-0.24253562491589525,-0.9701424996636913
11183.654766768,0.0,-0.24253562491589525,-0.9701424996636913
11183.669522265,0.0,-0.24253562491589525,-0.9701424996636913
11183.685054017,0.0,-0.24253562491589525,-0.9701424996636913
11183.700120568,0.0,-0.24253562491589525,-0.9701424996636913
11183.713883997,0.0,-0.24253562491589525,-0.9701424996636913
11183.728670439,0.0,-0.24253562491589525,-0.9701424996636913
11183.744065006,0.0,-0.24253562491589525,-0.9701424996636913
11183.758562283,0.0,-0.24253562491589525,-0.9701424996636913
11183.773455335,0.0,-0.24253562491589525,-0.9701424996636913
11183.789647453,0.0,-0.24253562491589525,-0.9701424996636913
11183.804900076,0.0,-0.24253562491589525,-0.9701424996636913
11183.819788517,0.0,-0.24253562491589525,-0.9701424996636913
11183.833200134,0.0,-0.24253562491589525,-0.9701424996636913
11183.849206846,0.0,-0.24253562491589525,-0.9701424996636913
11183.863964565,0.0,-0.24253562491589525,-0.9701424996636913
11183.878213047,0.0,-0.24253562491589525,-0.9701424996636913
11183.893166877,0.0,-0.24253562491589525,-0.9701424996636913
11183.907922244,-0.5999999997543163,0.0,-0.7999999996725127
11183.922537131,-0.5999999997543163,0.0,-0.7999999996725127
11183.937284888,0.0,-0.24253562491589525,-0.9701424996636913
11183.951693073,-0.5999999997543163,0.0,-0.7999999996725127
11183.966413126,0.0,-0.24253562491589525,-0.9701424996636913
11183.982243412,0.0,-0.24253562491589525,-0.9701424996636913
11183.996921781,-0.45749571085497587,0.45749571085497587,-0.7624928514250291
11184.011715481,0.0,-0.24253562491589525,-0.9701424996636913
11184.025616114,0.0,0.0,-0.9999999995906
11184.040320297,-0.45749571085497587,-0.45749571085497587,-0.7624928514250291
11184.055093627,0.36650833297724156,-0.36650833297724156,-0.8551861102802858
11184.070267177,0.0,-0.5999999997543163,-0.7999999996725127
11184.08499386,0.0,-0.5999999997543163,-0.7999999996725127
11184.100151984,0.0,0.0,-0.9999999997075715
11184.113770563,0.43685202825240005,-0.43685202825240005,-0.7863336508542883
11184.128615319,-0.5232045648463082,0.5232045648463082,-0.6726915833738152
11184.144869325,0.0,-0.9138115484303367,-0.40613846596901804
11184.159552601,-0.4946847388807179,-0.4946847388807179,-0.7145446228277176
11184.174605781,-0.9397934233240715,0.0,-0.3417430630269598
11184.189952793,0.0,-0.9397934233240715,-0.3417430630269598
11184.204983863,0.0,-0.9883716974967979,-0.15205718423026596
11184.219930137,0.0,-0.9557790085781125,-0.29408584879324484
11184.233382309,0.0,0.9912279005485527,-0.13216372007313235
11184.247840012,0.0,-0.9999999998922631,0.0
11184.262686898,0.0,-0.9999999998795882,0.0
11184.278883145,0.0,-0.9945054528148479,-0.10468478450684487
11184.293434144,0.0,-0.9931506042041089,-0.11684124755341833
11184.308741471,0.0,-0.9945054528148479,-0.10468478450684487
11184.324789738,0.0,0.9945054528148479,-0.10468478450684487
11184.335459558,0.0,-0.9945054528148479,-0.10468478450684487
11184.351237845,0.6123000982413831,-0.5590566114377877,0.5590566114377877
11184.366138786,0.0,-0.9216353750465511,-0.38805700001960397
11184.380876727,0.0,-0.9823385663284135,0.1871121078720666
11184.393756552,0.0,-0.9954954724973528,-0.09480909261878935
11184.408479994,0.0,-0.9344877348438462,-0.3559953275595576
11184.423735506,0.0,-0.9954954724973528,-0.09480909261878935
11184.438659169,0.0,-0.9945054528148504,-0.10468478450682134
11184.453694572,0.0,-0.9954954724973528,-0.09480909261878935
11184.468270534,0.5571392350389857,-0.5571392350389857,-0.6157854703062579
11184.481705077,0.0,-0.9892034622796829,-0.14654866107848077
11184.496485296,0.0,0.9761870601117045,-0.21693045780260647
11184.509220751,0.0,-0.9785497848835817,-0.20601048102813602
11184.524229173,0.0,-0.9945054528148504,-0.10468478450682134
11184.539029318,0.0,0.9968152784547646,-0.07974522227639494
11184.553771871,0.0,-0.9999999999181199,0.0
11184.568663904,0.0,-0.9954954724973528,-0.09480909261878935
11184.583619067,0.0,-0.998812351075088,-0.04872255371098828
11184.599148115,0.0,-0.9823385663284095,-0.18711210787208712
11184.614815532,0.0,-0.9945054528148479,-0.10468478450684487
11184.629982416,0.0,-0.9945054528148479,-0.10468478450684487
11184.644741543,0.0,-0.9785497848835817,-0.20601048102813602
11184.659574021,0.0,-0.9535826650361718,-0.3011313679061679
11184.673848522,0.6259788572630807,-0.5258222401009932,-0.5759005486820369
11184.688357428,0.0,-0.9945054528148479,-0.10468478450684487
11184.703129074,0.0,-0.9954954724973528,-0.09480909261878935
11184.717663739,0.0,-0.9945054528148504,0.10468478450682134
11184.729097869,0.0,-0.9823385663284095,-0.18711210787208712
11184.744919156,0.5773502691599591,-0.5773502691599591,0.5773502691599591
11184.760114132,0.5371863220995561,-0.5371863220995561,-0.6502781793836806
11184.775067128,0.0,-0.9962405881073512,-0.08662961635715584
11184.79009992,0.0,-0.9945054528148479,-0.10468478450684487
11184.806113409,-0.7814078021762899,-0.4207580473256974,-0.46083024230909453
11184.820770703,0.0,-0.9785497848835866,0.20601048102811362
11184.832327814,0.0,0.0,-0.999999999911
11184.848176415,0.0,-0.9962405881073512,-0.08662961635715584
11184.862996431,0.0,0.2524218971252686,-0.9676172723135137
11184.876996229,0.0,-0.9999999999025238,0.0
11184.891912911,0.0,-0.9945054528148479,-0.10468478450684487
11184.905560378,0.0,-0.9954954724973528,-0.09480909261878935
11184.919646361,0.0,-0.9945054528148479,-0.10468478450684487
11184.933954788,0.0,0.0,-0.999999999911
11184.948913395,0.0,-0.9954954724973528,-0.09480909261878935
11184.963700781,0.0,-0.9945054528148479,-0.10468478450684487
11184.97815678,0.0,0.9979253089026998,-0.06438227799371879
11184.992542021,0.0,-0.9954954724973528,-0.09480909261878935
11185.00724324,-0.5756125668888923,-0.5207923224232747,-0.6304328113544976
11185.022105811,0.0,-0.9945054528148504,-0.10468478450682134
11185.038345558,0.0,-0.6585046078262526,0.7525766946585684
11185.052716299,0.5571392350389857,-0.5571392350389857,-0.6157854703062579
11185.068080774,0.0,-0.9954954724973528,-0.09480909261878935
11185.082658346,0.0,-0.9945054528148504,0.10468478450682134
11185.09392644,0.0,-0.9823385663284095,-0.18711210787208712
11185.10894638,0.0,-0.9954954724973528,-0.09480909261878935
11185.12366323,0.0,-0.9999999998922631,0.0
11185.137229716,0.0,0.9823385663284095,-0.18711210787208712
11185.150667148,0.0,-0.999999999911,0.0
11185.166080826,0.0,0.0,-0.9999999999025238
11185.181803688,-0.5258222401009932,-0.6259788572630807,-0.5759005486820369
11185.197610771,0.0,-0.9954954724973528,-0.09480909261878935
11185.213068134,0.0,-0.9945054528148504,-0.10468478450682134
11185.228369091,0.0,-0.9785497848835817,-0.20601048102813602
11185.24311607,0.0,-0.9945054528148479,-0.10468478450684487
11185.257101572,0.0,-0.9954954724973528,-0.09480909261878935
11185.271813829,0.0,-0.9945054528148479,-0.10468478450684487
11185.286953102,0.0,-0.9785497848835817,-0.20601048102813602
11185.302474039,0.0,-0.9954954724973528,-0.09480909261878935
11185.31824353,0.0,-0.9945054528148479,-0.10468478450684487
11185.333143415,0.0,-0.9785497848835817,-0.20601048102813602
11185.348216707,0.0,-0.9945054528148479,-0.10468478450684487
11185.36364083,0.0,-0.9785497848835817,-0.20601048102813602
11185.37691567,0.0,-0.9945054528148479,-0.10468478450684487
11185.39120967,0.5773502691571337,-0.5773502691571337,0.5773502691571337
11185.405911668,0.0,-0.9535826650361718,-0.3011313679061679
11185.421719677,0.0,-0.9823385663284095,-0.18711210787208712
11185.436464471,0.0,-0.9344877348438462,-0.3559953275595576
11185.451641133,0.9823385663284095,0.0,-0.18711210787208712
11185.465617209,0.0,-0.9954954724973528,-0.09480909261878935
11185.480262707,-0.5773502691571337,-0.5773502691571337,-0.5773502691571337
11185.496029754,0.0,0.9874406318368677,-0.15799050109390816
11185.509222076,0.0,-0.6904757466360367,-0.7233555440948786
11185.523790408,0.0,-0.9785497848835817,-0.20601048102813602
11185.536356345,0.0,-0.9945054528148479,-0.10468478450684487
11185.551593729,0.0,-0.9962405881073512,-0.08662961635715584
11185.565918099,0.0,-0.9945054528148479,-0.10468478450684487
11185.5796354,0.0,-0.9852117547332857,-0.17134117473623292
11185.593464292,0.0,-0.9823385663284135,-0.1871121078720666
11185.607804699,0.0,-0.9945054528148479,-0.10468478450684487
11185.622092478,0.0,-0.9999999999025238,0.0
11185.636802624,0.0,-0.9785497848835817,-0.20601048102813602
11185.65192797,0.0,0.9999999999181199,0.0
11185.667259186,-0.5956398291526894,-0.5389122263762336,-0.5956398291526894
11185.681621075,0.0,-0.9954954724973528,-0.09480909261878935
11185.696211555,0.0,-0.9954954724973528,-0.09480909261878935
11185.710961867,-0.5571392350389857,-0.5571392350389857,-0.6157854703062579
11185.724712482,-0.5571392350389857,-0.5571392350389857,-0.6157854703062579
11185.740152346,0.0,0.0,-0.999999999911
11185.755770912,0.0,-0.9785497848835817,-0.20601048102813602
11185.772041899,0.0,-0.9028605187444675,-0.4299335803545195
11185.787569873,-0.9945054528148504,0.0,-0.10468478450682134
11185.803923823,-0.9945054528148479,0.0,-0.10468478450684487
11185.817458421,0.0,0.9761870601117045,-0.21693045780260647
11185.831131833,0.6093936867422001,-0.5606421918028267,-0.5606421918028267
11185.84628031,0.0,-0.9823385663284095,-0.18711210787208712
11185.860349997,0.0,-0.9954954724973528,-0.09480909261878935
11185.875038365,0.0,-0.9429903334758132,-0.33282011769735326
11185.888381297,0.0,-0.9785497848835817,-0.20601048102813602
11185.90319398,0.0,-0.9954954724973507,-0.0948090926188107
11185.91803531,0.0,-0.9823385663284095,-0.18711210787208712
11185.933208064,0.5590566114377877,-0.5590566114377877,-0.6123000982413831
11185.947861154,0.0,-0.9931506042041058,-0.11684124755344452
11185.964757527,0.0,-0.985211754733289,-0.17134117473621402
11185.980133854,0.0,-0.9945054528148479,-0.10468478450684487
11185.995459921,0.0,-0.9954954724973528,-0.09480909261878935
11186.010137716,0.0,0.0,-0.9999999999025238
11186.022735486,-0.5571392350389857,-0.5571392350389857,-0.6157854703062579
11186.038847753,0.0,-0.999999999911,0.0
11186.053930804,0.0,-0.9785497848835817,-0.20601048102813602
11186.069304779,-0.5590566114377877,-0.5590566114377877,-0.6123000982413831
11186.083733019,0.0,-0.9945054528148479,-0.10468478450684487
11186.097884298,0.0,-0.9615239475507084,-0.2747211278716131
11186.112721054,0.0,-0.9785497848835817,-0.20601048102813602
