x,y,z
-0.37632657124104363,-0.8970932961321575,0.23152090577894088
-0.3739224375439301,-0.8978765363448457,0.23237843312706294
-0.37241859403634825,-0.8985268770424816,0.23227966344102297
-0.37012877410663597,-0.8999770372231626,0.23031722265027674
-0.37255165330932627,-0.8973617665978605,0.23653144709499935
-0.3589953606369825,-0.8965592690089798,0.2594297750745017
-0.3579071057098514,-0.9043044621358035,0.232671320629923
-0.36413763039600267,-0.9044190541812203,0.2223284969668334
-0.3649313772789225,-0.903343844779691,0.22537743448702693
-0.3636603189652277,-0.9044208907409942,0.22310092962911504
-0.3620700868721121,-0.9055090083878717,0.22126610206001812
-0.3616289681393043,-0.9052269986497048,0.22313352576013654
-0.3619575737873768,-0.9044659355659005,0.2256725197689253
-0.362881056406004,-0.9028501544956969,0.23060558845951437
-0.36302514900433575,-0.903347324045951,0.2284214379812008
-0.3608408580033361,-0.9042693965043033,0.22823394519912987
-0.36311917729524495,-0.9031874294207681,0.22890375797860868
-0.35965995868191175,-0.9052731624898019,0.2261088574042123
-0.3576275607579564,-0.9050422650122506,0.23021951769519727
-0.3507719967993845,-0.9072611604562993,0.2320262765051875
-0.3564217251441462,-0.9122319610943713,0.20198119467709824
-0.4275634303128961,-0.8941898388084593,0.13271791601276378
-0.4696085480395815,-0.860297921806528,0.19838169608995035
-0.3802164472042892,-0.8893210466175528,0.254054185791945
-0.25238858305546563,-0.9509517865864127,0.17885944965632633
-0.17021924020979648,-0.9853461596363856,0.010879152183248872
-0.26770331704958494,-0.9602816892945657,-0.07870204092794911
-0.4334344258317151,-0.900783667509868,-0.026895777575724752
-0.593754586419956,-0.7969247494885683,0.11120447274210556
-0.6558211878773547,-0.7048870718557357,0.2702457871304971
-0.5254130308531759,-0.6874369087573314,0.5013697672255917
-0.2589353420737128,-0.7906691167450868,0.5547926067015616
-0.030305431208709314,-0.9056754901398127,0.4228870858743077
0.1834793781232956,-0.9755479997618038,0.12100172711260025
0.34623556938035666,-0.9326546790669796,-0.10137149555140891
0.4588889137676387,-0.8276212130469128,-0.32320905392008015
0.4841841880748799,-0.7167728676789319,-0.5017990914475532
0.45579944430933844,-0.646627487732602,-0.6116532994073701
0.4162252906507901,-0.6058896502054213,-0.6779780521496381
0.36405388102011743,-0.5645938508826779,-0.7407418951697404
0.34969208189283474,-0.5525208665876291,-0.7565950963670796
0.5853035129697003,-0.6681261221802953,-0.45937705925051264
0.35177359683298753,-0.8910592691848025,0.2868252348923096
-0.1655828505987935,-0.88401375997006,0.4371521380151017
-0.457880591981812,-0.8828406083078019,0.10458405140888224
-0.42736025768675956,-0.8424772398808106,-0.32801724106015784
-0.26364142411125613,-0.7720962475167302,-0.5782392100706876
-0.16631502849337768,-0.650968722537738,-0.7406612137643178
-0.09846776488646719,-0.5759663407884441,-0.8115213327800036
-0.08002105062167497,-0.6290243104849044,-0.7732561336817148
-0.07564108603557465,-0.6300538641894156,-0.7728586897508136
-0.08016114191524075,-0.6378374665622041,-0.7659879617698662
-0.10714340830267835,-0.6502578096209636,-0.752120383372391
-0.17134382720301186,-0.7258560637558021,-0.666163844401929
-0.11230187777305498,-0.8667658102613411,-0.4859066972276125
0.05605401723777631,-0.939143149015366,-0.33892195681160764
0.1474830156951071,-0.9543391415276671,-0.2597798356872838
0.12510651300235148,-0.9654024691411305,-0.22879342862198007
0.09887173032936139,-0.989255005160062,-0.10769826232323111
0.1024930570252989,-0.9929956009350183,0.058778480631187124
0.03141614330060555,-0.9894140969320244,0.1416784060197688
-0.11132544017106642,-0.9704932259082564,0.21389143235974684
-0.11118842608124123,-0.9273593512769761,0.3572698804891371
