time,event_type,qw,qx,qy,qz,bx,by,bz
6438.040672855,IMU,0.9999999999543044,-8.652193507527614e-07,-5.12234934467485e-06,8.02522296350559e-06,0.0,0.0,0.0
6438.048672855,IMU,0.9999999999339854,-7.05963291093746e-06,-8.645978097974849e-06,2.7272931842469795e-06,0.0,0.0,0.0
6438.056672855,IMU,0.9999999997721425,-1.5918601423823828e-05,-7.373357175596087e-06,-1.216334281590651e-05,0.0,0.0,0.0
6438.064672855,IMU,0.9999999992217143,-1.8915350744619012e-05,-6.633842800717389e-06,-3.398195161291817e-05,0.0,0.0,0.0
6438.072672855,IMU,0.9999999982783688,-2.0313332241506652e-05,-5.894362591350475e-06,-5.4734699864538225e-05,0.0,0.0,0.0
6438.080672855,IMU,0.9999999972213414,-2.17115753584806e-05,-9.418184642453213e-06,-7.069103684027228e-05,0.0,0.0,0.0
6438.088672855,IMU,0.9999999964223664,-2.3109647644537234e-05,-9.74432964925858e-06,-8.078526865793217e-05,0.0,0.0,0.0
6438.096672855,IMU,0.9999999966153896,-1.811268640315592e-05,-9.537807694842427e-06,-7.968802629815884e-05,0.0,0.0,0.0
6438.104672855,IMU,0.9999999978905534,-1.5247969864528144e-05,-1.4127131626496204e-05,-6.153711864155736e-05,0.0,0.0,0.0
6438.112672855,IMU,0.999999998965507,-1.1850600412300426e-05,-2.19139568529319e-05,-3.805690505820319e-05,0.0,0.0,0.0
6438.120672855,IMU,0.9999999994259726,2.205061771655588e-06,-3.236575565884747e-05,-9.780101640515768e-06,0.0,0.0,0.0
6438.128672854999,IMU,0.9999999988256286,1.0398602729320443e-05,-4.441626728566276e-05,1.6364808680675553e-05,0.0,0.0,0.0
6438.136672855,IMU,0.999999998045037,1.5395044893638917e-05,-5.22033096043867e-05,3.078527214748992e-05,0.0,0.0,0.0
6438.144672855,IMU,0.9999999977311069,1.4530042233616205e-05,-5.839152777505394e-05,3.0283555277723184e-05,0.0,0.0,0.0
6438.15199767,IMU,0.9999999983176434,8.371900848209092e-06,-5.7226006471413754e-05,4.45071933457469e-06,0.0,0.0,0.0
6438.152672855,IMU,0.9999999982923321,8.119048651739965e-06,-5.779324622800883e-05,3.059031975724749e-06,0.0,0.0,0.0
6438.15999767,IMU,0.9999999980162125,5.376614071381135e-06,-5.809154575278172e-05,-2.374951643060522e-05,0.0,0.0,0.0
6438.163760591,TRIAD,0.9967055252038907,-0.05697687390701311,-0.054712013476919674,-0.018393679597145503,3.537259803013191e-05,3.161392731271918e-05,1.1569554078486611e-05
6438.16799767,IMU,0.9967054218495105,-0.056975103512986985,-0.054712057349426045,-0.01840463028878757,3.537259803013191e-05,3.161392731271918e-05,1.1569554078486611e-05
6438.173347094,IMU,0.9967052937147208,-0.056976522458550546,-0.054713024037420954,-0.018404303036595307,3.537259803013191e-05,3.161392731271918e-05,1.1569554078486611e-05
6438.17818596,TRIAD,0.9966132476644539,-0.05701381090367798,-0.056295852913271605,-0.01849964569165435,3.6369525718507115e-05,3.774360658025084e-05,1.1851865052434675e-05
6438.181347094,IMU,0.9966133949412674,-0.05701353020946842,-0.056295681021333505,-0.01849309857865174,3.6369525718507115e-05,3.774360658025084e-05,1.1851865052434675e-05
6438.187376629,IMU,0.9966133706646796,-0.057016512792320104,-0.05629864452791354,-0.018476182119388514,3.6369525718507115e-05,3.774360658025084e-05,1.1851865052434675e-05
6438.191702347,TRIAD,0.9964296153214726,-0.05695613905028281,-0.05945642443871772,-0.018680297849610672,3.6327058972481635e-05,4.991844212985988e-05,1.2589538082591993e-05
6438.195376629,IMU,0.9964296694294202,-0.056957790146074966,-0.0594574697662981,-0.01866904688091423,3.6327058972481635e-05,4.991844212985988e-05,1.2589538082591993e-05
6438.203261241,IMU,0.9964296491173172,-0.056953768642932404,-0.059467536263439154,-0.01865032782724972,3.6327058972481635e-05,4.991844212985988e-05,1.2589538082591993e-05
6438.207268162,TRIAD,0.9967497891459062,-0.057060769192517374,-0.05382293861661066,-0.018358042799343534,3.633803170177536e-05,2.2802666933615278e-05,1.3804085133894668e-05
6438.211261241,IMU,0.9967499834158488,-0.05705597574130981,-0.05382592899532866,-0.018353625268653813,3.633803170177536e-05,2.2802666933615278e-05,1.3804085133894668e-05
6438.218024555,IMU,0.996749944717185,-0.05705223004974996,-0.053829672235920806,-0.018356392336528523,3.633803170177536e-05,2.2802666933615278e-05,1.3804085133894668e-05
6438.222533366,TRIAD,0.9967266953264386,-0.057052767335894615,-0.05424907221658573,-0.01838245703361411,3.6478284942397706e-05,2.4698341894450566e-05,1.3896770487728624e-05
6438.226024555,IMU,0.9967263535892927,-0.05705534776563889,-0.054251286757844394,-0.018386441663692236,3.6478284942397706e-05,2.4698341894450566e-05,1.3896770487728624e-05
6438.23668855,TRIAD,0.9965081177200898,-0.05630844401883064,-0.05883573679849604,-0.01841973196113144,2.9097792812400693e-05,3.86721307051285e-05,7.5441946176560905e-06
6438.239226571,IMU,0.9965079141522907,-0.05631023991002681,-0.0588355175585816,-0.018425954160913447,2.9097792812400693e-05,3.86721307051285e-05,7.5441946176560905e-06
6438.245277366,IMU,0.9965074386281854,-0.056310784938163654,-0.05883763061030831,-0.018443250323802174,2.9097792812400693e-05,3.86721307051285e-05,7.5441946176560905e-06
6438.249903899,TRIAD,0.996550421218844,-0.05698255686219017,-0.057407612021413985,-0.01856373518424471,3.775527712405731e-05,3.356074880958712e-05,1.4599254313252684e-05
6438.253277366,IMU,0.9965503163241283,-0.05697956742552249,-0.05740949713888734,-0.018572710317567985,3.775527712405731e-05,3.356074880958712e-05,1.4599254313252684e-05
6438.261336163,IMU,0.9965499398280284,-0.056979905731482844,-0.057411715251813066,-0.01858501340944165,3.775527712405731e-05,3.356074880958712e-05,1.4599254313252684e-05
6438.265553955,TRIAD,0.9967757508849914,-0.05638297496645694,-0.054124697373494304,-0.018154330497744925,2.6057433864349573e-05,1.795230785932167e-05,3.6007952368682617e-06
6438.269336163,IMU,0.9967754633617577,-0.056386275731439776,-0.05412679228227346,-0.018153619647963675,2.6057433864349573e-05,1.795230785932167e-05,3.6007952368682617e-06
6438.276368681,IMU,0.996775239330235,-0.05639061073824623,-0.05413017527960464,-0.018142364865685465,2.6057433864349573e-05,1.795230785932167e-05,3.6007952368682617e-06
6438.280374417,TRIAD,0.9967820800514675,-0.05705965765304652,-0.05323419508621675,-0.01832486917578562,3.711925522856844e-05,1.3900250013205072e-05,1.3565435821044385e-05
6438.284368681,IMU,0.9967823838713383,-0.05705744976712598,-0.05323393387785748,-0.018315974277439372,3.711925522856844e-05,1.3900250013205072e-05,1.3565435821044385e-05
6438.291916422,IMU,0.9967828620510726,-0.057052178283335565,-0.05323560685486958,-0.01830150368665616,3.711925522856844e-05,1.3900250013205072e-05,1.3565435821044385e-05
6438.296416918,TRIAD,0.9967892001897819,-0.05638750460090641,-0.053876455471513235,-0.018140211016516108,2.529886766983208e-05,1.6984929728807192e-05,4.347268327580699e-06
6438.299916422,IMU,0.9967894931682632,-0.05638265236043608,-0.053879246293863994,-0.018130902927447436,2.529886766983208e-05,1.6984929728807192e-05,4.347268327580699e-06
6438.306453588,IMU,0.9967896425604265,-0.0563783355967129,-0.053883963222979586,-0.018122093338964848,2.529886766983208e-05,1.6984929728807192e-05,4.347268327580699e-06
6438.310648102,TRIAD,0.99691792194476,-0.05641951721498826,-0.051452542545527245,-0.018003634304486312,2.5237222067712657e-05,6.703885190587063e-06,4.997257693471525e-06
6438.314453588,IMU,0.9969176583146016,-0.056422259062922496,-0.05145445788338585,-0.0180041658150228,2.5237222067712657e-05,6.703885190587063e-06,4.997257693471525e-06
6438.322082755,IMU,0.9969168197671078,-0.05642686870367705,-0.05146234092339924,-0.01801361763827703,2.5237222067712657e-05,6.703885190587063e-06,4.997257693471525e-06
6438.326511343,TRIAD,0.9968333371243933,-0.05707715454495776,-0.05226588969035879,-0.018269460894405398,3.7146306381487746e-05,1.0545152223325458e-05,1.4590374171212164e-05
6438.330082755,IMU,0.9968331551990501,-0.057075614041533475,-0.052268618196169736,-0.01827639268431782,3.7146306381487746e-05,1.0545152223325458e-05,1.4590374171212164e-05
6438.340269656,TRIAD,0.9968822200720562,-0.0571063330486332,-0.05131223031754969,-0.018214308929680408,3.730443507649064e-05,7.5494271164062774e-06,1.4428859335875936e-05
6438.342697252,IMU,0.9968821350340666,-0.057106122373536725,-0.05131174723558705,-0.018220983316246827,3.730443507649064e-05,7.5494271164062774e-06,1.4428859335875936e-05
6438.3490635650005,IMU,0.9968816054206784,-0.05710862690118619,-0.051313337240489115,-0.018237623984394633,3.730443507649064e-05,7.5494271164062774e-06,1.4428859335875936e-05
6438.353182801,TRIAD,0.9968529087003118,-0.057096497277854756,-0.051877996699953355,-0.018246694843924983,3.729588520254647e-05,9.612917013916708e-06,1.3726301335002154e-05
6438.357063565,IMU,0.9968527242815698,-0.05709760005394113,-0.051877557745870155,-0.01825456553349858,3.729588520254647e-05,9.612917013916708e-06,1.3726301335002154e-05
6438.365687455001,IMU,0.9968531013577041,-0.057095627824192634,-0.05187178228239346,-0.018256554979957727,3.729588520254647e-05,9.612917013916708e-06,1.3726301335002154e-05
6438.370183248,TRIAD,0.996898276798875,-0.05711252784428248,-0.05099880898844382,-0.018196328212860977,3.7324679354602986e-05,5.0916540798948775e-06,1.3291611473014392e-05
6438.373687455,IMU,0.9968983905114217,-0.05711261257570398,-0.05099882486092901,-0.018189786785968907,3.7324679354602986e-05,5.0916540798948775e-06,1.3291611473014392e-05
6438.379499731001,IMU,0.9968983958116691,-0.05711684427517085,-0.050999309479419226,-0.01817484417510456,3.7324679354602986e-05,5.0916540798948775e-06,1.3291611473014392e-05
6438.383972857,TRIAD,0.9966035945587193,-0.05701200174874653,-0.05646516434638828,-0.018509245921329673,3.7242819370245156e-05,2.671400246034003e-05,1.3967431466990066e-05
6438.387499731,IMU,0.9966036644927416,-0.05701363883995258,-0.05646628068181095,-0.018497028189126213,3.7242819370245156e-05,2.671400246034003e-05,1.3967431466990066e-05
6438.395170898,IMU,0.9966044586359113,-0.05700389998986416,-0.05647056976623286,-0.018471144069727784,3.7242819370245156e-05,2.671400246034003e-05,1.3967431466990066e-05
6438.399335968,TRIAD,0.9964449448059993,-0.056960802856704656,-0.05919910946871804,-0.018665592586343656,3.734059316849808e-05,3.944798635096559e-05,1.5455699505366774e-05
6438.403170898,IMU,0.9964453030563443,-0.05695376492130176,-0.0592017201397643,-0.018659662663950423,3.734059316849808e-05,3.944798635096559e-05,1.5455699505366774e-05
6438.409941064,IMU,0.9964451703796993,-0.056951468047264475,-0.059205844702707934,-0.018660671672593675,3.734059316849808e-05,3.944798635096559e-05,1.5455699505366774e-05
6438.413798393,TRIAD,0.9965448046970259,-0.056992607888446685,-0.057493657680917964,-0.0185680963997318,3.749039159828018e-05,3.182369379146976e-05,1.566771580574462e-05
6438.417941064,IMU,0.9965445697590927,-0.05699356869711748,-0.05749453561777764,-0.018575036606369975,3.749039159828018e-05,3.182369379146976e-05,1.566771580574462e-05
6438.425524157,IMU,0.99654351140561,-0.057000593509256535,-0.05749731079260999,-0.018601652254233457,3.749039159828018e-05,3.182369379146976e-05,1.566771580574462e-05
6438.429651245,TRIAD,0.9966010998561182,-0.057011198567814836,-0.05650915640832343,-0.018511786662999744,3.7379271968596524e-05,2.6977646973643844e-05,1.4315179104998323e-05
6438.433524157,IMU,0.9966007985268636,-0.05701034603788694,-0.05650915029206336,-0.01853064363499536,3.7379271968596524e-05,2.6977646973643844e-05,1.4315179104998323e-05
6438.440960324,IMU,0.9966006373946575,-0.05700719234672166,-0.056506198483512564,-0.018557992839964135,3.7379271968596524e-05,2.6977646973643844e-05,1.4315179104998323e-05
6438.445159801,TRIAD,0.996720727680634,-0.05705078022440387,-0.05435856514466578,-0.018388743377061464,3.749183157835875e-05,1.677444228470818e-05,1.2533501289832532e-05
6438.448960324,IMU,0.9967204661920535,-0.05705393886891833,-0.05435931195841318,-0.018390909081533513,3.749183157835875e-05,1.677444228470818e-05,1.2533501289832532e-05
6438.460877783,TRIAD,0.9965934903310133,-0.05700870171411067,-0.056643209782760634,-0.01851944233033094,3.7457056655036196e-05,2.4323957611446622e-05,1.247314212300189e-05
6438.463569471,IMU,0.9965935247148633,-0.0570100740034582,-0.056643015589171654,-0.018513960772627062,3.7457056655036196e-05,2.4323957611446622e-05,1.247314212300189e-05
6438.470183396,IMU,0.9965941555675351,-0.05700720180531802,-0.056643671729294624,-0.018486819195944047,3.7457056655036196e-05,2.4323957611446622e-05,1.247314212300189e-05
6438.47460941,TRIAD,0.9967472996200358,-0.05705993293611763,-0.05386900986635437,-0.0183606788957001,3.745324246312242e-05,1.3576895005687943e-05,1.3511830999873799e-05
