timestamp,qw,qx,qy,qz
11183.445794284,0.7355173525239557,-0.5742745953517594,-0.2833408488981151,-0.22122584979025284
11183.461922421,0.7360233511892199,-0.5746696671712697,-0.28202382704719114,-0.2201975502023323
11183.479668843,0.735232842479313,-0.5740524566215172,-0.28407829881556096,-0.22180163328669944
11183.494495396,0.7362310169044418,-0.5748318076621342,-0.2814812645026397,-0.21977393016854777
11183.511562823,0.7354946262987675,-0.5742568512513258,-0.2833998362804571,-0.22127190574666097
11183.525894545,0.7353939956212124,-0.5741782811925302,-0.2836608603992129,-0.221475707220088
11183.541446241,0.7359168636030158,-0.5745865241763866,-0.2823015805532335,-0.2204144135866463
11183.555865074,0.7369181032428592,-0.5753682684643332,-0.2796775315092371,-0.2183656180038457
11183.571709638,0.7358120921090372,-0.5745047210658244,-0.28257455232960266,-0.2206275435092496
11183.585789584,0.7368905515077805,-0.5753467567196284,-0.2797501163837338,-0.2184222905613146
11183.601513464,0.7359449567759345,-0.5746084586629826,-0.28222833506616823,-0.22035722523847012
11183.614382696,0.7367332220195535,-0.5752239175671892,-0.28016418773790597,-0.21874558770522012
11183.629164915,0.736534603881082,-0.5750688412107865,-0.28068592733496844,-0.21915294967289353
11183.645531383,0.73589778309004,-0.5745716265620331,-0.28235131549422265,-0.22045324545514453
11183.65930098,0.7353699000850908,-0.5741594679664268,-0.28372332044968934,-0.22152447455384283
11183.675396042,0.7354184095573267,-0.5741973430178358,-0.28359755887934834,-0.2214262828868883
11183.689830116,0.735233898015039,-0.5740532807589084,-0.2840755669320482,-0.22179950029650763
11183.705462219,0.7359718786446368,-0.5746294786228817,-0.2821581229779458,-0.2203024052965416
11183.718599948,0.7362077670908854,-0.574813654756256,-0.28154206824772404,-0.21982140429813066
11183.733419556,0.7360786389362426,-0.5747128345397083,-0.2818794952101379,-0.22008485930926808
11183.749310713,0.7367538117874595,-0.5752399935721834,-0.28011003790439615,-0.21870330879280497
11183.762977477,0.736004424207461,-0.574654889430468,-0.28207321756096787,-0.22023611315018934
11183.779335982,0.7360356741204608,-0.5746792886252405,-0.28199166466438746,-0.2201724385726654
11183.794352663,0.7354850814053497,-0.5742493988237435,-0.28342460646231754,-0.22129124572023998
11183.810174913,0.7363644154054949,-0.5749359620644061,-0.28113210461040783,-0.2195013143626304
11183.824390117,0.7357937431869841,-0.5744903946604024,-0.28262232750623245,-0.22066484523997398
11183.83798814,0.7365161526070617,-0.5750544348913631,-0.2807343396648246,-0.21919074887782425
11183.854805402,0.7359723436979788,-0.5746298417255588,-0.2821569099452602,-0.22030145818924055
11183.868410111,0.7364840122376258,-0.5750293404492147,-0.2808186465256929,-0.2192565736856882
11183.883388495,0.7356895379617757,-0.5744090336791356,-0.28289347156083744,-0.22087654812054638
11183.89781081,0.7360103747132629,-0.5746595354450043,-0.28205769061061936,-0.22022399007369378
11183.913039619,-0.5759640501833138,0.7068922442131801,0.41020167344421354,-0.017417091354578897
11183.927870764,-0.5764054796577175,0.7068730770846554,0.40958115559746716,-0.018178363316618294
11183.941782211,0.7364829187741981,-0.5750284866987689,-0.2808215142612678,-0.21925881274596493
11183.956859521,-0.5741385531078033,0.7069625573212112,0.41275285805827955,-0.014280845418019758
11183.971234984,0.7350938661677633,-0.5739439471964101,-0.2844377268237883,-0.2220822661953243
11183.986925919,0.7352933651567731,-0.5740997113001306,-0.28392160832628044,-0.22167929304956122
11184.001630139,-0.4424635863427001,0.8535681934957662,0.2747328143157658,0.013007480588839796
11184.016679746,0.7349079535842887,-0.5737987910375795,-0.284917728961724,-0.22245704053964818
11184.030384694,-0.659192489560015,0.659192489560015,0.25586180197065284,0.25586180197065284
11184.045116377,0.7165809761341774,-0.5205146820217263,-0.4639607312494069,-0.017793546608988183
11184.059880022,0.8084747185524371,-0.4597963880473729,-0.17211274210820868,-0.32455063550105806
11184.075578458,0.833906338179657,-0.4169531690898569,-0.32341957136786537,-0.16170978568394373
11184.089750792,0.8358397567511711,-0.417919878375614,-0.3183895429095014,-0.15919477145476152
11184.105450395,-0.659818628751821,0.6598186287518208,0.25424275240814004,0.25424275240814004
11184.118552106,0.8351122327827252,-0.4129517245141676,-0.1449605905821175,-0.33323394043150834
11184.133393936,-0.40038988167796535,0.8715314166118817,0.27943811512878064,-0.045113992526332684
11184.150137458,0.9107526833669627,-0.19327488019568698,-0.35698084549455805,-0.07575649394745286
11184.164257718,0.7124196906020956,-0.5026477892108069,-0.4896943474358292,0.0016824188836316143
11184.179828673,-0.4602757618472655,0.6617701406341372,0.5367925326007427,-0.24911900964212735
11184.194771188,0.9153218431320818,-0.16125680528373615,-0.36343174769068176,-0.06402758003757952
11184.210360365,0.9245555787812603,-0.07070374123804503,-0.3733401004041196,-0.028550519253319823
11184.224550496,0.9193668448701767,-0.13824301097463193,-0.3642171178218211,-0.05476646378660825
11184.25342142,0.9300286158221296,0.0,-0.3674871069193773,0.0
11184.267875012,0.9193838967126413,0.0,-0.3933614755736499,0.0
11184.284042741,0.9272251164220177,-0.04866688199332702,-0.37081843257432306,-0.019462994023159465
11184.298255612,0.9232705899738731,-0.054123400078679294,-0.3796665903799476,-0.022256581105029514
11184.314443045,0.9304728878004022,-0.04883734642921619,-0.3625919628578138,-0.019031214702448295
11184.340222953,0.9304716607842798,-0.04883728202732739,-0.3625951115749443,-0.019031379967864765
11184.356846883,0.6818189243151346,0.024189681578340262,0.5609378398538288,-0.4689206260882665
11184.370555035,0.914886160314196,-0.18475304074828752,-0.3518536645177642,-0.07105368649992475
11184.398528465,0.9236881020405867,-0.043885857937778126,-0.3801947217487838,-0.01806364238155692
11184.413273315,0.9195249628277374,-0.16921616222234054,-0.348880653234215,-0.0642029826274296
11184.428898825,0.9278107345952771,-0.04408173062058644,-0.37002023872586853,-0.017580236873195855
11184.443340213,0.9269849642151133,-0.04865427722354992,-0.37141836596997774,-0.019494482479683124
11184.458909872,0.9265087492167114,-0.044019871270839964,-0.3732683671594223,-0.017734560505473555
11184.472924133,0.8792930353455317,-0.3213996446322513,-0.0735756449448818,-0.3437043073545178
11184.486452139,0.9229140360478753,-0.06799295237675172,-0.37793043439600865,-0.027842903048318057
11184.513966794,0.9273007002884391,-0.09655236617943799,-0.35970585724720067,-0.03745327878542244
11184.52946038,0.9281810771267603,-0.04871705710827353,-0.3684190745937432,-0.019337059911112044
11184.543906786,0.01216940197801404,-0.3047210491700613,0.03800350493619708,0.9516053391300193
11184.558258823,0.9217768074655206,0.0,-0.38772092698057,0.0
11184.574275405,0.9289334350960242,-0.04413507186702408,-0.3671926053962373,-0.01744589161711842
