time,qw,qx,qy,qz
0.0,0.9999818593579184,0.002748074985651279,-0.001335869784691594,-0.005190808306230194
0.01,0.999945229516146,0.0056454508561042055,-0.002792558007248853,-0.008358736286650537
0.02,0.9998893325206649,0.008467658214871557,-0.004095889274002977,-0.01152584776883751
0.03,0.999811393480563,0.011401984343074321,-0.005591274823277785,-0.014693871693528624
0.04,0.9997114726107492,0.014337057607014177,-0.007047511445782292,-0.017937471729375418
0.05,0.9995917451068623,0.017272929792318436,-0.00842783355959326,-0.021141443472458214
0.060000000000000005,0.999454831189209,0.020094480369250486,-0.00976807108198779,-0.024307140073994885
0.07,0.9992948407310648,0.023025981344717346,-0.011264249084945884,-0.027436147031622688
0.08,0.9991154928036858,0.0259224411610351,-0.01264384760832336,-0.030600526164731048
0.09,0.9989158246330894,0.028818373760716765,-0.014023188978188099,-0.03376428293722272
0.09999999999999999,0.9986932519237411,0.031711671229069545,-0.015477394736115497,-0.036967671309198105
0.10999999999999999,0.9984485876159171,0.034642423473941565,-0.016932687804799916,-0.04016969588306129
0.11999999999999998,0.9981815009687516,0.03761055210310522,-0.01838915617083281,-0.043370225150379346
0.12999999999999998,0.9978970584863966,0.04050335098194972,-0.01980383001786421,-0.04656981361411678
0.13999999999999999,0.997596335083897,0.04335825779582289,-0.021179780850577385,-0.04972957461319877
0.15,0.9972744240985344,0.04617312362948176,-0.02258982725749989,-0.05292887111690027
0.16,0.9969323174830013,0.04898705441927897,-0.02399941620177632,-0.056127095767277764
0.17,0.9965621416959064,0.05190983883735599,-0.025491036534678234,-0.05932515003551095
0.18000000000000002,0.7265029286635288,-0.6511496112591892,-0.014582500086584163,0.21905485406981304
0.19000000000000003,0.7291122938342702,-0.6486180879445755,-0.017071337238093575,0.21771175534581252
0.20000000000000004,0.7316732956009782,-0.6461014357975222,-0.01954336965607603,0.21639126569080805
0.21000000000000005,0.7341789811834599,-0.6436093176160792,-0.02194601710907877,0.21509682052329354
0.22000000000000006,0.7366300584713531,-0.6411678818510045,-0.024361193193945842,0.213743857234201
0.23000000000000007,0.7391062352842085,-0.6386754671321482,-0.026844782238307753,0.21235578238916522
0.24000000000000007,0.7415905363791755,-0.636133578690631,-0.029347922972566665,0.21098873389897818
0.25000000000000006,0.7440387170742622,-0.6336311142792858,-0.03177360067072104,0.2095434007839295
0.26000000000000006,0.7464639395037959,-0.6311171219338082,-0.034174455275230844,0.2081222526043322
0.2700000000000001,0.7488340802782951,-0.6286462528228514,-0.03661460566283308,0.20666586481009094
0.2800000000000001,0.7512504634645562,-0.6260626214864359,-0.03906352431647409,0.20528608377042376
0.2900000000000001,0.7536892761624835,-0.6234264615197704,-0.04158025824457851,0.20387006695178173
0.3000000000000001,0.7561092763461142,-0.6208021690834441,-0.04398602632830713,0.20240716037850973
0.3100000000000001,0.758826145708356,-0.6177060140672873,-0.046650015002712875,0.2011117522044696
0.3200000000000001,0.7616633216409283,-0.6144758685382831,-0.04920569270837962,0.19966770208553733
0.3300000000000001,0.7646455895973885,-0.6107016139131666,-0.05256138053523396,0.19899236756555838
0.34000000000000014,0.7664641990573253,-0.6089342067486786,-0.0540680849815609,0.19699849136781994
0.35000000000000014,0.7687417569615511,-0.6063598774471869,-0.05637007867102092,0.19541295851739962
0.36000000000000015,0.7710042263633221,-0.6037736467985697,-0.058670965955029825,0.1938235901931318
0.37000000000000016,0.7730154948643331,-0.6016064064106152,-0.06078194201952958,0.1918914588763413
0.38000000000000017,0.7756991456930767,-0.5981364997685003,-0.0637931587752264,0.19092929557612853
0.3900000000000002,0.7775787012356544,-0.595920234080824,-0.06601677811093934,0.18945242940004728
0.4000000000000002,0.7792844641609559,-0.5941317498091528,-0.06776367715224427,0.1874333797510268
0.4100000000000002,0.7817859156810587,-0.5907221390094353,-0.07104734514923647,0.18657548411860392
0.4200000000000002,0.7843469936030574,-0.5872197189327664,-0.07408362617261093,0.18569978905611345
0.4300000000000002,0.7861170888943619,-0.5851398384129485,-0.07607810911094487,0.18396579400645593
0.4400000000000002,0.6188675552809249,-0.7412043423809113,-0.010487248021061935,0.25982511326897806
0.45000000000000023,0.6222515415488434,-0.7385383957826753,-0.01311157043230996,0.2592144743559651
0.46000000000000024,0.6255659571142649,-0.7359507865301398,-0.01563660008813156,0.25845535367460704
0.47000000000000025,0.6282213176593843,-0.7340630168698656,-0.017812319842606946,0.2572395470452457
0.48000000000000026,0.6313380413939546,-0.7315778071774071,-0.02042221467754256,0.2564939037911166
0.49000000000000027,0.6345130837657856,-0.7289940546676736,-0.02299843257062055,0.2557965732540462
0.5000000000000002,0.6376729740669492,-0.7263928938968417,-0.02557410126481759,0.2550931343358351
0.5100000000000002,0.6406814347495297,-0.7239160861429885,-0.028149183264087184,0.2543234611125488
0.5200000000000002,0.6433556930274497,-0.7218036105640527,-0.030478595548519904,0.25330624792779405
0.5300000000000002,0.6461881154785399,-0.7195014087147297,-0.0329920528684902,0.25232948048005677
0.5400000000000003,0.6488219558148866,-0.7173948596459256,-0.035332292549501425,0.25124950568975185
0.5500000000000003,0.6516078298575279,-0.7150575362869845,-0.037815048254905274,0.2503397251596921
0.5600000000000003,0.6544607098206756,-0.712621312625898,-0.040293230113680245,0.249456408415109
0.5700000000000003,0.6571543880241242,-0.7103666397387134,-0.04273002859304307,0.24839785044038856
0.5800000000000003,0.6599081179626547,-0.7079751208678251,-0.045262940986504525,0.2474747871045206
0.5900000000000003,0.6626424361655726,-0.7055898213779884,-0.04771753663711318,0.24651783395450186
